,PIB_R_0,PIB_R_1,EMP_0,EMP_1,POPACT_0,POPACT_1,EMISTOTALESD_0,EMISTOTALESD_1,P_VAB_0,P_VAB_1,P_CFIN_0,P_CFIN_1,P_XBS_0,P_XBS_1,RDMEN_0,RDMEN_1,EQUEXT_R_0,EQUEXT_R_1,I_R_0,I_R_1,XBS_R_0,XBS_R_1,SALM_0,SALM_1,R_EQUEXT_R_0,R_EQUEXT_R_1,R_EPMEN_0,R_EPMEN_1,R_UBIT_0,R_UBIT_1,R_RCDPSNM_0,R_RCDPSNM_1,R_RCDPSNMPRIM_0,R_RCDPSNMPRIM_1,R_EPMEN_0,R_EPMEN_1,R_UBIT_0,R_UBIT_1,R_RCDPSNM_0,R_RCDPSNM_1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021,58.73902,59.88259,476.2516,480.3968,299.3941,299.7308,7.143685,7.267931,1.095340,1.095248,1.089780,1.089731,1.101265,1.102466,26.24972,26.26779,21.48607,21.88368,6.956828,7.603097,127.0573,129.4878,72.49560,72.49516,36.57887,36.54431,20.34883,20.00029,7.556813,7.151066,-4.949298,-4.033392,-4.710078,-3.796088,20.34883,20.00029,7.556813,7.151066,-4.949298,-4.033392
2022,63.29270,64.53031,496.2039,501.7158,305.9918,306.7347,7.165093,7.334512,1.084961,1.092097,1.101771,1.106669,1.110087,1.115317,26.70683,26.99524,22.55597,23.14794,8.962207,9.456419,133.8198,136.3635,71.99368,72.65711,35.63755,35.87142,16.54049,16.46764,6.941622,6.486226,-4.171854,-3.305587,-3.929538,-3.068735,16.54049,16.46764,6.941622,6.486226,-4.171854,-3.305587
2023,67.78215,68.76264,519.5782,525.0558,313.7150,314.7460,7.296136,7.466944,1.100392,1.112109,1.130439,1.137338,1.126320,1.134241,28.11029,28.49907,23.76299,24.33624,10.82586,11.11663,139.5253,142.0075,73.77806,74.78716,35.05789,35.39166,14.58400,14.78671,6.200767,5.913968,-3.109282,-2.426877,-2.871403,-2.195897,14.58400,14.78671,6.200767,5.913968,-3.109282,-2.426877
2024,71.01674,71.74957,541.6829,546.6926,321.9971,323.1695,7.404963,7.563287,1.132990,1.145234,1.163814,1.170716,1.150106,1.159000,29.76918,30.12281,24.69788,25.26495,11.96084,12.07221,144.9584,147.4547,76.49003,77.45442,34.77755,35.21268,13.86188,14.13442,5.845531,5.758448,-2.663716,-2.123693,-2.432468,-1.898994,13.86188,14.13442,5.845531,5.758448,-2.663716,-2.123693
2025,73.34637,74.02256,561.6477,566.4273,330.2911,331.4863,7.458659,7.611182,1.168869,1.179258,1.194147,1.200095,1.177917,1.186660,31.28349,31.55982,25.53666,26.20749,12.46016,12.45149,150.6178,153.3118,78.93128,79.68022,34.81654,35.40473,13.56761,13.77925,5.825144,5.856014,-2.485650,-2.002173,-2.259738,-1.781991,13.56761,13.77925,5.825144,5.856014,-2.485650,-2.002173
2026,75.28867,76.13532,579.6397,584.9182,339.2234,340.5124,7.472863,7.633089,1.201151,1.209615,1.219959,1.225218,1.206660,1.215021,32.64287,32.87683,26.92469,27.72353,12.22485,12.26528,157.0006,160.0705,80.83452,81.40061,35.76194,36.41349,13.66403,13.77704,6.201862,6.252436,-2.421563,-1.901901,-2.197691,-1.683380,13.66403,13.77704,6.201862,6.252436,-2.421563,-1.901901
2027,77.71245,78.84539,598.7993,605.2522,348.5359,349.9588,7.494351,7.670572,1.228113,1.236114,1.242504,1.248039,1.234783,1.243224,33.84182,34.09221,28.68000,29.58851,12.08641,12.27827,164.3771,167.9291,82.08288,82.60421,36.90528,37.52725,13.63008,13.64390,6.614965,6.604093,-2.272937,-1.655131,-2.050741,-1.438505,13.63008,13.64390,6.614965,6.604093,-2.272937,-1.655131
2028,80.89513,82.27324,620.8343,628.6070,358.1329,359.7660,7.549049,7.740480,1.254272,1.263610,1.265578,1.272235,1.263444,1.272712,35.09720,35.41809,30.64247,31.64178,12.45637,12.77331,172.7641,176.8167,83.16372,83.79288,37.87925,38.45938,13.50361,13.49180,6.889956,6.815427,-1.830196,-1.148416,-1.610717,-0.935105,13.50361,13.49180,6.889956,6.815427,-1.830196,-1.148416
2029,84.63243,86.14573,645.8293,654.7106,368.0946,369.9981,7.634268,7.834744,1.284360,1.295858,1.291458,1.299450,1.294484,1.305009,36.53512,36.93744,32.66054,33.74023,13.24520,13.60197,182.0024,186.5151,84.49178,85.27491,38.59104,39.16646,13.41554,13.43270,7.029666,6.931092,-1.225752,-0.507121,-1.011370,-0.299440,13.41554,13.43270,7.029666,6.931092,-1.225752,-0.507121
2030,88.52523,90.08652,672.7292,682.4203,378.5005,380.6886,7.730039,7.933474,1.319942,1.333352,1.320309,1.329316,1.328733,1.340510,38.16503,38.62740,34.71041,35.87086,14.11481,14.44066,191.8985,196.8185,86.15855,87.05217,39.20962,39.81823,13.43648,13.49350,7.110228,7.026062,-0.535522,0.188747,-0.328030,0.389328,13.43648,13.49350,7.110228,7.026062,-0.535522,0.188747
