,PIB_R_0,PIB_R_1C,EMP_0,EMP_1C,POPACT_0,POPACT_1C,EMISTOTALESD_0,EMISTOTALESD_1C,P_VAB_0,P_VAB_1C,P_CFIN_0,P_CFIN_1C,P_XBS_0,P_XBS_1C,RDMEN_0,RDMEN_1C,EQUEXT_R_0,EQUEXT_R_1C,I_R_0,I_R_1C,XBS_R_0,XBS_R_1C,SALM_0,SALM_1C,R_EQUEXT_R_0,R_EQUEXT_R_1C,R_EPMEN_0,R_EPMEN_1C,R_UBIT_0,R_UBIT_1C,R_RCDPSNM_0,R_RCDPSNM_1C,R_RCDPSNMPRIM_0,R_RCDPSNMPRIM_1C,R_EPMEN_0,R_EPMEN_1C,R_UBIT_0,R_UBIT_1C,R_RCDPSNM_0,R_RCDPSNM_1C
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1970,10.64775,10.64775,140.2164,140.2164,135.6488,135.6488,NA,NA,0.194335,0.194335,0.199650,0.199650,0.213916,0.213916,NA,NA,-0.027196,-0.027196,2.258035,2.258035,6.285748,6.285748,6.053562,6.053562,-0.255412,-0.255412,NA,NA,0.000000,0.000000,NA,NA,NA,NA,NA,NA,0.000000,0.000000,NA,NA
1971,10.94328,10.94328,144.9649,144.9649,139.1973,139.1973,NA,NA,0.188536,0.188536,0.208970,0.208970,0.208015,0.208015,NA,NA,-0.065193,-0.065193,2.553521,2.553521,6.727964,6.727964,6.526675,6.526675,-0.595732,-0.595732,NA,NA,0.000000,0.000000,NA,NA,NA,NA,NA,NA,0.000000,0.000000,NA,NA
1972,11.68537,11.68537,148.9304,148.9304,142.4463,142.4463,NA,NA,0.198362,0.198362,0.219619,0.219619,0.209792,0.209792,NA,NA,-0.005640,-0.005640,2.547980,2.547980,7.186811,7.186811,7.175944,7.175944,-0.048263,-0.048263,NA,NA,0.000000,0.000000,NA,NA,NA,NA,NA,NA,0.000000,0.000000,NA,NA
1973,12.68472,12.68472,151.9106,151.9106,145.0108,145.0108,NA,NA,0.219594,0.219594,0.230300,0.230300,0.236290,0.236290,NA,NA,0.300029,0.300029,2.994574,2.994574,8.261235,8.261235,8.004376,8.004376,2.365275,2.365275,NA,NA,0.000000,0.000000,NA,NA,NA,NA,NA,NA,0.000000,0.000000,NA,NA
1974,13.22114,13.22114,156.2129,156.2129,148.6896,148.6896,NA,NA,0.260430,0.260430,0.253408,0.253408,0.287866,0.287866,NA,NA,0.943261,0.943261,3.039311,3.039311,9.302045,9.302045,9.797745,9.797745,7.134489,7.134489,NA,NA,0.000000,0.000000,NA,NA,NA,NA,NA,NA,0.000000,0.000000,NA,NA
1975,12.41781,12.41781,158.1499,158.1499,150.7056,150.7056,NA,NA,0.253181,0.253181,0.279352,0.279352,0.281071,0.281071,NA,NA,0.724232,0.724232,2.167855,2.167855,8.497109,8.497109,10.86730,10.86730,5.832203,5.832203,NA,NA,0.000000,0.000000,NA,NA,NA,NA,NA,NA,0.000000,0.000000,NA,NA
1976,12.73629,12.73629,157.9875,157.9875,151.1400,151.1400,NA,NA,0.289905,0.289905,0.305360,0.305360,0.302113,0.302113,NA,NA,1.110552,1.110552,2.032597,2.032597,8.788691,8.788691,12.10500,12.10500,8.719591,8.719591,NA,NA,0.000000,0.000000,NA,NA,NA,NA,NA,NA,0.000000,0.000000,NA,NA
1977,12.95239,12.95239,157.9483,157.9483,151.1004,151.1004,NA,NA,0.294159,0.294159,0.322783,0.322783,0.295983,0.295983,NA,NA,1.455801,1.455801,2.371347,2.371347,9.557316,9.557316,13.32409,13.32409,11.23963,11.23963,NA,NA,0.000000,0.000000,NA,NA,NA,NA,NA,NA,0.000000,0.000000,NA,NA
1978,13.48893,13.48893,157.0352,157.0352,150.8795,150.8795,NA,NA,0.304882,0.304882,0.333709,0.333709,0.303633,0.303633,NA,NA,1.435459,1.435459,2.356579,2.356579,9.851887,9.851887,14.12474,14.12474,10.64175,10.64175,NA,NA,1.200000,1.200000,NA,NA,NA,NA,NA,NA,1.200000,1.200000,NA,NA
1979,13.82548,13.82548,157.9360,157.9360,152.0141,152.0141,NA,NA,0.310537,0.310537,0.350214,0.350214,0.325546,0.325546,NA,NA,1.620949,1.620949,2.568837,2.568837,10.76311,10.76311,15.08701,15.08701,11.72436,11.72436,NA,NA,2.400000,2.400000,NA,NA,NA,NA,NA,NA,2.400000,2.400000,NA,NA
1980,13.97492,13.97492,159.2066,159.2066,152.9864,152.9864,NA,NA,0.312384,0.312384,0.376488,0.376488,0.346271,0.346271,NA,NA,0.894097,0.894097,2.359792,2.359792,10.54986,10.54986,16.45571,16.45571,6.397869,6.397869,NA,NA,2.400000,2.400000,NA,NA,NA,NA,NA,NA,2.400000,2.400000,NA,NA
1981,13.90704,13.90704,159.7510,159.7510,154.0121,154.0121,NA,NA,0.339842,0.339842,0.414082,0.414082,0.364983,0.364983,NA,NA,1.956055,1.956055,2.527441,2.527441,11.48082,11.48082,17.86566,17.86566,14.06521,14.06521,NA,NA,2.400000,2.400000,NA,NA,NA,NA,NA,NA,2.400000,2.400000,NA,NA
1982,14.06523,14.06523,159.4545,159.4545,154.2059,154.2059,NA,NA,0.410175,0.410175,0.455732,0.455732,0.433116,0.433116,NA,NA,2.090701,2.090701,2.189423,2.189423,11.63477,11.63477,19.11012,19.11012,14.86432,14.86432,NA,NA,2.400000,2.400000,NA,NA,NA,NA,NA,NA,2.400000,2.400000,NA,NA
1983,14.48392,14.48392,158.9845,158.9845,154.2346,154.2346,NA,NA,0.456267,0.456267,0.484263,0.484263,0.475600,0.475600,NA,NA,2.928698,2.928698,2.020156,2.020156,12.24227,12.24227,20.46466,20.46466,20.22034,20.22034,NA,NA,3.400000,3.400000,NA,NA,NA,NA,NA,NA,3.400000,3.400000,NA,NA
1984,15.36878,15.36878,159.9340,159.9340,155.1134,155.1134,NA,NA,0.469572,0.469572,0.513756,0.513756,0.515296,0.515296,NA,NA,2.870086,2.870086,2.021192,2.021192,13.09362,13.09362,21.92698,21.92698,18.67478,18.67478,NA,NA,3.000000,3.000000,NA,NA,NA,NA,NA,NA,3.000000,3.000000,NA,NA
